2026-06-28 17:06:11,439 | DEBUG    | asyncio:__init__:631 | Using proactor: IocpProactor
2026-06-28 17:06:12,788 | INFO     | autovideofactory.services.pipeline:run_full_pipeline:84 | Starting full pipeline: 47b07b1511084efe9366d3d9e093313b
2026-06-28 17:06:12,856 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='localhost' port=11434 local_address=None timeout=600.0 socket_options=None
2026-06-28 17:06:13,200 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C0562A900>
2026-06-28 17:06:13,229 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'POST']>
2026-06-28 17:06:13,254 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:06:13,256 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'POST']>
2026-06-28 17:06:13,257 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:06:13,258 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'POST']>
2026-06-28 17:06:29,426 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 28 Jun 2026 11:36:29 GMT'), (b'Content-Length', b'1464')])
2026-06-28 17:06:29,428 | INFO     | httpx:_send_single_request:1740 | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-06-28 17:06:29,429 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'POST']>
2026-06-28 17:06:29,430 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:06:29,431 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:06:29,433 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:06:29,435 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'POST']>
2026-06-28 17:06:29,437 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:06:29,437 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'POST']>
2026-06-28 17:06:29,439 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:06:29,439 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'POST']>
2026-06-28 17:06:45,315 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 28 Jun 2026 11:36:45 GMT'), (b'Content-Length', b'1750')])
2026-06-28 17:06:45,317 | INFO     | httpx:_send_single_request:1740 | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-06-28 17:06:45,320 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'POST']>
2026-06-28 17:06:45,321 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:06:45,322 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:06:45,323 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:06:45,325 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='localhost' port=11434 local_address=None timeout=600.0 socket_options=None
2026-06-28 17:06:45,594 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C0569E490>
2026-06-28 17:06:45,595 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'POST']>
2026-06-28 17:06:45,597 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:06:45,598 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'POST']>
2026-06-28 17:06:45,599 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:06:45,602 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'POST']>
2026-06-28 17:07:27,036 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 28 Jun 2026 11:37:27 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-06-28 17:07:27,037 | INFO     | httpx:_send_single_request:1740 | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-06-28 17:07:27,038 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'POST']>
2026-06-28 17:07:27,051 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:07:27,052 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:07:27,053 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:07:27,064 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'POST']>
2026-06-28 17:07:27,065 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:07:27,066 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'POST']>
2026-06-28 17:07:27,067 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:07:27,068 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'POST']>
2026-06-28 17:07:30,441 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 28 Jun 2026 11:37:30 GMT'), (b'Content-Length', b'863')])
2026-06-28 17:07:30,443 | INFO     | httpx:_send_single_request:1740 | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-06-28 17:07:30,445 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'POST']>
2026-06-28 17:07:30,446 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:07:30,447 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:07:30,448 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:07:30,450 | INFO     | autovideofactory.services.pipeline:_step_script_writing:179 | Detected script mood: dramatic
2026-06-28 17:07:35,878 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='image.pollinations.ai' port=443 local_address=None timeout=120.0 socket_options=None
2026-06-28 17:07:35,962 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E00190>
2026-06-28 17:07:35,963 | DEBUG    | httpcore.connection:atrace:87 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000017C05CE7B40> server_hostname='image.pollinations.ai' timeout=120.0
2026-06-28 17:07:35,986 | DEBUG    | httpcore.connection:atrace:87 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E1CE90>
2026-06-28 17:07:35,988 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'GET']>
2026-06-28 17:07:35,990 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:07:35,991 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'GET']>
2026-06-28 17:07:35,992 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:07:35,993 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'GET']>
2026-06-28 17:07:36,696 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'image/jpeg'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 28 Jun 2026 11:37:36 GMT'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Model-Used', b'sana'), (b'CF-Ray', b'a12c667dfb493d3f-BOM'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Access-Control-Allow-Origin', b'*'), (b'Cache-Control', b'public, max-age=31536000, immutable'), (b'Content-Disposition', b'inline; filename="simple-illustration-of-heres-a-script-for-a-30-second-video-0s-3s-hook-upbeat-background-music.jpg"'), (b'Server', b'cloudflare'), (b'Strict-Transport-Security', b'max-age=0; includeSubDomains; preload'), (b'Access-Control-Allow-Headers', b'Content-Type, X-PAYMENT'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'X-Auth-Status'), (b'Access-Control-Expose-Headers', b'X-Auth-Reason'), (b'Access-Control-Expose-Headers', b'X-PAYMENT-RESPONSE'), (b'Access-Control-Expose-Headers', b'X-Debug-Token'), (b'Access-Control-Expose-Headers', b'X-Debug-Token-Source'), (b'Access-Control-Expose-Headers', b'X-Debug-Referrer'), (b'Access-Control-Expose-Headers', b'X-Debug-Legacy-Token-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-Allowlist-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-User-Id'), (b'Nel', b'{"report_to":"cf-nel","success_fraction":0.0,"max_age":604800}'), (b'Report-To', b'{"group":"cf-nel","max_age":604800,"endpoints":[{"url":"https://a.nel.cloudflare.com/report/v4?s=djN31MMEWENj1VgZe6SkgREEx%2BidYlac9U5kLZORNEhsnhn%2FSUD9kk1Infj5fsjmZ0EKXrGCRQu3dJDLEGmS0atKdsprnbL8TrSjPWFI4ZblTYoRBgDa65xQ3Vfb863Vtx3d%2Bv40FVFWLWPJW%2BduDLIVDnIp3F%2BOjy45"}]}'), (b'X-Usage-Total-Tokens', b'1'), (b'X-Auth-Result', b'NONE'), (b'X-Auth-Status', b'unauthenticated'), (b'X-Usage-Completion-Image-Tokens', b'1'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 70fc196525462d12303d29d0ef81c74e.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'BOM78-P6'), (b'X-Amz-Cf-Id', b'6G0SUSZCOYxhUG9K-_rNALS6nHhwV0pP3FJvAn4DHmCnz8HgHzph9A=='), (b'Vary', b'Accept-Encoding')])
