2026-07-01 21:35:48,542 | INFO     | autovideofactory:lifespan:41 | Starting AutoVideoFactory
2026-07-01 21:35:48,577 | INFO     | autovideofactory.database:get_engine:27 | Initializing database
2026-07-01 21:35:48,645 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing <function connect.<locals>.connector at 0x0000024719071B10>
2026-07-01 21:35:48,676 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation <function connect.<locals>.connector at 0x0000024719071B10> completed
2026-07-01 21:35:48,716 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000024719079300>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000002471902EA30>, deterministic=True)
2026-07-01 21:35:48,718 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000024719079300>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000002471902EA30>, deterministic=True) completed
2026-07-01 21:35:48,719 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000024719079300>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-07-01 21:35:48,724 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000024719079300>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-07-01 21:35:48,728 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,729 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,730 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C940>, 'PRAGMA read_uncommitted', [])
2026-07-01 21:35:48,731 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C940>, 'PRAGMA read_uncommitted', []) completed
2026-07-01 21:35:48,732 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C940>)
2026-07-01 21:35:48,734 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C940>) completed
2026-07-01 21:35:48,734 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C940>)
2026-07-01 21:35:48,736 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C940>) completed
2026-07-01 21:35:48,741 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,744 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,745 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,746 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,747 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("project")', ())
2026-07-01 21:35:48,750 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("project")', ()) completed
2026-07-01 21:35:48,750 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,751 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,752 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,757 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,759 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,766 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,767 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("topic")', ())
2026-07-01 21:35:48,768 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("topic")', ()) completed
2026-07-01 21:35:48,769 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,772 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,790 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,801 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,801 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,803 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,810 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("script")', ())
2026-07-01 21:35:48,811 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("script")', ()) completed
2026-07-01 21:35:48,812 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,814 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,814 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,816 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,817 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,819 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,823 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("scene")', ())
2026-07-01 21:35:48,827 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("scene")', ()) completed
2026-07-01 21:35:48,828 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,829 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,830 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>)
2026-07-01 21:35:48,831 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002471907C9C0>) completed
2026-07-01 21:35:48,832 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>)
2026-07-01 21:35:48,833 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000024719079300>) completed
2026-07-01 21:35:48,834 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("job")', ())
2026-07-01 21:35:48,860 | DEBUG    | aiosqlite:_connection_worker_thread:67 | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002471907C9C0>, 'PRAGMA main.table_info("job")', ()) completed
2026-07-01 21:35:48,862 | DEBUG    | aiosqlite:_connection_worker_thread:62 | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002471907C9C0>)
